Course Name,Course Acronym,Course Code,Prerequisites,Antirequisites,Semester,Department
Introduction to 3D Production Design for Animation and Games,I3DD,DES516,None,None,Monsoon,DES
Information Systems in Public Health,ISPR,DES515,None,None,Monsoon,DES
Digital Audio & Video Production Workflow,DAVP,DES514,None,DigitalAudio,Monsoon,DES
"Wearable Applications, Research, Devices, Interactions",WARDI,DES513,None,None,Monsoon,DES
Game Design and Development,GDD,DES512,None,None,Winter,DES
Design Futures,DF,DES509,DES519,None,Monsoon,DES
Fundamentals of Video for Engineers,FVE,DES507,None,None,Winter,DES
Advanced topics in Human Centered Computing (ATHCC),ATHCC,DES506,DES204,None,Winter,DES
Narratives in Visual Communication,NVC,DES504,None,None,Winter,DES
Introduction to 3D Character Animation,I3DA,DES503,DES302 or DES516,None,Winter,DES
Introduction to 2D Animation,I2D,DES502,None,None,Winter,DES
Fundamentals of Audio for Engineers,FAE,DES501,None,None,Monsoon,DES
3D Animation filmmaking,3DAF,DES305,None,None,Monsoon,DES
Film Making and Radio Podcasting,FMRP,DES303,None,None,Monsoon,DES
Introduction to Animation and Graphics,IAG,DES302,None,Animation& Graphics,Monsoon,DES
Design of Interactive Systems,DIS,DES205/DES519,None,None,Monsoon,DES
Human Computer Interaction,HCI,DES204,None,CSE501,Winter,DES
Visual Design & Communication,VDC,DES202,DES101,None,Monsoon,DES
Design Processes and Perspectives,DPP,DES201,DES101 or DES202,None,Monsoon,DES
Prototyping Interactive Systems,PIS,DES130,None,None,Monsoon,DES
Introduction to HCI,IHCI,DES102,None,None,Winter,DES
Design Drawing & Visualization,DDV,DES101,None,None,Winter,DES
Mobile and Middleware Systems,MMS,CSE566/DES5MMS,CSE535,None,Monsoon,DES
Usable Security and Privacy,UsS,CSE3xx/5xx; DES3xx/5xx,None,None,Winter,DES
Stochastic Estimation and Control,SEC,ECE672,ECE501,None,Winter,ECE
Applied Optimization Methods for Machine Learning,AOMML,ECE666,"MTH201, MTH270",None,Winter,ECE
Information Theory,InT,ECE634,ECE501/MTH201,None,Winter,ECE
Memory Design and Testing,MDT,ECE611,"ECE111, ECE113",None,Winter,ECE
Estimation Theory for dynamic systems,ET,ECE5et,ECE501,None,Winter,ECE
Autonomous Driving,AD,ECE581,None,None,Winter,ECE
Nonlinear and Adaptive Control of Robotic Systems,NLR,ECE579,None,None,Monsoon,ECE
Machine Learning Techniques for Real-time Control,MLRC,ECE577,None,None,Winter,ECE
Advanced Embedded Logic Design,AELD,ECE573,CSE234,None,Winter,ECE
Optimal Control Systems,OCNS,ECE571,None,None,Winter,ECE
Linear Systems Theory,LST,ECE570,None,ControlThe or y (ECE570),Monsoon,ECE
Tomographic Imaging,TI,ECE565,MTH100,None,Monsoon,ECE
Data Processing and Management,DPM,ECE560,None,AdvancedProgramming (CSE201),Monsoon,ECE
Modeling and Analysis of Random 5G Networks,5GN,ECE55G,MTH201,None,Winter,ECE
Transform Learning and Applications,TLA,ECE558,MTH100,ECE362/ECE562,Winter,ECE
Speech Recognition and Understanding,SRU,ECE557,ECE250,None,Winter,ECE
Compressive Sensing,CS,ECE554,MTH100,None,Monsoon,ECE
Optical and Wireless Convergence for Beyond 5G Networks and IoT,OWC,ECE546,None,None,Monsoon,ECE
Photonics: Fundamentals & Applications,Pho,ECE545,ECE230,None,Monsoon,ECE
Principals of Digital Communication System,PDCS,ECE543,ECE240,None,Monsoon,ECE
Wireless System Implementation,WSI,ECE539,ECE240,None,Winter,ECE
Wireless Communication Evolution from 3G to 5G,WCE,ECE537,ECE240,None,Winter,ECE
Optical Networking,ON,ECE536s,None,None,Summer,ECE
Optical Communications Systems,OCS,ECE534,ECE240,None,Winter,ECE
Satellite Navigation and Sensor Fusion,SNSF,ECE533,ECE351,None,Monsoon,ECE
Optical Fiber Networks for Industry 4.0,OFNI,ECE532,None,NextGeneration Optical Netw or ks (ECE532),Monsoon,ECE
Quantum Mechanics,QM,ECE525,MTH100,None,Monsoon,ECE
Quantum Mechanics,QM,ECE525,MTH100,None,Monsoon,ECE
Quantum Materials and Devices,QMD,ECE524,None,None,Monsoon,ECE
Integrated Circuit Fabrication,ICF,ECE522,None,None,Monsoon,ECE
Low Voltage Analog Circuit Design,LVACD,ECE520,ECE315/ECE515,None,Monsoon,ECE
Intelligent Applications Implementation on Heterogeneous Platforms,IAI,ECE519,CSE112,None,Monsoon,ECE
Introduction to Nanoelectronics,INE,ECE517,None,None,Winter,ECE
System on Chip Design and Test,SCDT,ECE516,"ECE314/ECE514, CSE234",None,Monsoon,ECE
VLSI Design Flow,VDF,ECE513,ECE101,None,Monsoon,ECE
Digital Hardware Design,DHD,ECE510,ECE270,None,Monsoon,ECE
Probability and Random Process,PRP,ECE501,ECE240,None,Monsoon,ECE
Statistical Signal Processing,SSP,ECE452/ECE552,"MTH100, MTH201, ECE250",None,Winter,ECE
Radar Systems,RS,ECE432/ECE632,ECE250,None,Winter,ECE
Antennas Theory and Design,ATD,ECE431/ECE631,ECE230,None,Monsoon,ECE
Mixed Signal Design,MSD,ECE412/ECE612,ECE315/ECE515,None,Winter,ECE
Digital Signal Processing,DSP,ECE351,ECE250,None,Monsoon,ECE
Mobile Communications,MCOM,ECE343,ECE240,None,Winter,ECE
Digital Communication Systems,DCS,ECE340,ECE240,None,Monsoon,ECE
RF Circuit Design,RFCD,ECE321/ECE521,ECE230,None,Winter,ECE
Solid State Devices,SSD,ECE318,None,None,Monsoon,ECE
Analog CMOS Circuit Design,CMOS,ECE315/ECE515,None,None,Monsoon,ECE
Digital VLSI Design,DVD,ECE314/ECE514,None,None,Monsoon,ECE
Embedded Logic Design,ELD,ECE270,None,None,Monsoon,ECE
Signals and Systems,S&S,ECE250,MTH100,None,Monsoon,ECE
Principles of Communication Systems,PCS,ECE240,"ECE250, MTH201",None,Winter,ECE
Fields and Waves,F&W,ECE230,MTH203,None,Winter,ECE
Circuit Theory and Devices,CTD,ECE215,None,None,Monsoon,ECE
Integrated Electronics,IE,ECE214,"ECE111, ECE113, DES130",None,Winter,ECE
Basic Electronics,BE,ECE113,None,None,Winter,ECE
Digital Circuits,DC,ECE111,None,None,Monsoon,ECE
Multimedia Security,MS,CSE694F/ECE651,ECE350,None,Winter,ECE
Communication Networks,COMN,CSE636/ECE636,MTH201,None,Winter,ECE
Robotics,IRob,CSE633/ECE670,None,None,Winter,ECE
Object Oriented Programming and Design,OOPD,CSE600A/ECE600A,None,None,Monsoon,ECE
Reinforcement Learning,RL,CSE564,MTH201,None,Monsoon,ECE
Wireless Networks,WN,CSE538/ECE538,CSE232,None,Winter,ECE
Theories of Deep Learning,TDL,CSE516/ECE559,"MTH100, MTH203, CSE343/CSE543/ECE563 or CSE342/CSE542",None,Winter,ECE
Bayesian Machine Learning,BML,CSE515/ECE551,MTH201,None,Monsoon,ECE
Computer Architecture,CA,CSE511/ECE511,None,None,Monsoon,ECE
Computer Vision,CV,CSE344/CSE544/ECE344/ECE544,MTH100,None,Winter,ECE
Digital Image Processing,DIP,CSE340/CSE540/ECE340,"MTH100, MTH201",None,Monsoon,ECE
Decision Theory,DT,ECO503,None,None,Monsoon,ECO
Contract Theory,CT,ECO502,None,None,Monsoon,ECO
Markov Decision Processes,MDP,ECO341/ECO541,"MTH100, MTH201, MTH203",None,Monsoon,ECO
Derivatives and Risk Management,DRM,ECO333,ECO331 or ECO332,None,Monsoon,ECO
Valuation and Portfolio Management,VPM,ECO332,None,None,Winter,ECO
Foundations of Finance,FF,ECO331,None,FIN401,Monsoon,ECO
Spatial Statistics and Spatial Econometrics,SSSE,ECO324/ECO524,ECO221,None,Winter,ECO
Econometrics II,Econ-2,ECO322/ECO522,ECO221,None,Monsoon,ECO
Behavioural Economics,BEco,ECO314,MTH201,None,Monsoon,ECO
Market Design,MD,ECO313,ECO311,None,Winter,ECO
Industrial Organization,IO,ECO312/ECO512,ECO101 or ECO311,None,Winter,ECO
Game Theory,GMT,ECO311/ECO511,None,ECO304,Monsoon,ECO
Microeconomics,ME,ECO301,None,ECO101,Winter,ECO
Introduction to Economic Analysis,IEA,ECO301,None,None,Monsoon/Winter,ECO
Money and Banking,MB,ECO223,None,None,Winter,ECO
Econometrics I,ECO,ECO221,MTH201,ECO302,Monsoon,ECO
Macroeconomics,MA,ECO201,None,None,Monsoon,ECO
Variational Calculus and their Applications,VCA,MTH599,MTH203,None,Winter,MTH
Numerical Partial Differential Equations,NPDE,MTH598,"MTH100, MTH203, MTH240",MTH570,Winter,MTH
Convex Optimization,COO,MTH577,MTH100,None,Winter,MTH
Categorical Data Analysis,CDA,MTH576,MTH201,None,Monsoon,MTH
Integral Transforms and their Applications,ITA,MTH571,MTH204,None,Winter,MTH
Numerical Solutions Differential Equations,NSDE,MTH570,"MTH100, MTH203, MTH240",None,Winter,MTH
Introduction to Riemannian Geometry with Some Applications,IRG,MTH564A,"MTH100, MTH203",None,Monsoon,MTH
Point Set Toplogy,PST-2,MTH562A,None,MTH562,Monsoon,MTH
Point Set Toplogy,PST,MTH562,None,None,Monsoon,MTH
Introduction to PDE,IPDE,MTH550,MTH204,None,Winter,MTH
Finite and Spectral Element Methods,FSEM,MTH545,"MTH100, MTH203 or MTH240, MTH204",None,Monsoon,MTH
Calculus in R^N,CRN,MTH544,"MTH100, MTH203 or MTH240",None,Winter,MTH
Introduction to Functional Analysis,IFA,MTH542,MTH100,None,Winter,MTH
Measure and Probability Theory,MPT,MTH535,MTH240 or MTH203,None,Winter,MTH
Topics in Number Theory,TNT,MTH518,MTH211,None,Monsoon,MTH
